ano,mes,ano_mes,corretora,acao,variacao
2020,08,202008,Ágora Investimentos,SID NACIONAL ON (CSNA3),24.49
2020,08,202008,Ágora Investimentos,ITAU UNIBANCO PN (ITUB4),-8.93
2020,08,202008,Ágora Investimentos,TENDA ON (TEND3),-5.15
2020,08,202008,Ágora Investimentos,VALE ON (VALE3),0.64
2020,08,202008,Ágora Investimentos,VIA VAREJO ON (VVAR3),3.59
2020,08,202008,Ativa Investimentos,ELETROBRAS ON (ELET3),1.49
2020,08,202008,Ativa Investimentos,LOCAMERICA ON (LCAM3),9.36
2020,08,202008,Ativa Investimentos,PETROBRAS BR ON (BRDT3),-1.03
2020,08,202008,Ativa Investimentos,PETROBRAS PN (PETR4),1.53
2020,08,202008,Ativa Investimentos,TEGMA ON (TGMA3),-0.34
2020,08,202008,BB Investimentos,CESP PNB (CESP6),-3.69
2020,08,202008,BB Investimentos,LOCALIZA ON (RENT3),-1.81
2020,08,202008,BB Investimentos,LOCAWEB ON (LWSA3),24.93
2020,08,202008,BB Investimentos,VIA VAREJO ON (VVAR3),3.59
2020,08,202008,BB Investimentos,WEG ON (WEGE3),-0.24
2020,08,202008,CM Capital Corretora 3,BRF S.A. ON (BRFS3),-3.77
2020,08,202008,CM Capital Corretora 3,CIELO ON (CIEL3),-13.22
2020,08,202008,CM Capital Corretora 3,COPEL PNB (CPLE6),-3.28
2020,08,202008,CM Capital Corretora 3,MOVIDA ON (MOVI3),0.6
2020,08,202008,CM Capital Corretora 3,WEG ON (WEGE3),-0.24
2020,08,202008,Elite Investimentos,B3 ON (B3SA3),-3.81
2020,08,202008,Elite Investimentos,BRASIL ON (BBAS3),0.58
2020,08,202008,Elite Investimentos,ISHARES S&P 500 CI (IVVB11),11.48
2020,08,202008,Elite Investimentos,ITAU UNIBANCO PN (ITUB4),-8.93
2020,08,202008,Elite Investimentos,LOCAMERICA ON (LCAM3),9.36
2020,08,202008,Genial Investimentos,INTER BANCO UNIT (BIDI11),6.88
2020,08,202008,Genial Investimentos,LOCAWEB ON (LWSA3),24.93
2020,08,202008,Genial Investimentos,LOJAS AMERICANAS PN (LAME4),-2.61
2020,08,202008,Genial Investimentos,RUMO ON (RAIL3),6.93
2020,08,202008,Genial Investimentos,TOTVS ON (TOTS3),11.75
2020,08,202008,Guide Investimentos,B3 ON (B3SA3),-3.81
2020,08,202008,Guide Investimentos,BTGP BANCO UNT (BPAC11),-4.19
2020,08,202008,Guide Investimentos,COGNA ON (COGN3),-27.42
2020,08,202008,Guide Investimentos,CYRELA REALT ON (CYRE3),-7.73
2020,08,202008,Guide Investimentos,VIA VAREJO ON (VVAR3),3.59
2020,08,202008,Mirae Corretora,B3 ON (B3SA3),-3.81
2020,08,202008,Mirae Corretora,INTER BANCO UNIT (BIDI11),6.88
2020,08,202008,Mirae Corretora,MAGAZINE LUIZA ON (MGLU3),17.18
2020,08,202008,Mirae Corretora,VALE ON (VALE3),0.64
2020,08,202008,Mirae Corretora,VIA VAREJO ON (VVAR3),3.59
2020,08,202008,Modalmais,CCR SA ON (CCRO3),-10.16
2020,08,202008,Modalmais,DURATEX ON (DTEX3),1.86
2020,08,202008,Modalmais,FLEURY ON (FLRY3),0.86
2020,08,202008,Modalmais,RAIADROGASIL ON (RADL3),-13.26
2020,08,202008,Modalmais,RANDON PART PN (RAPT4),-4.59
2020,08,202008,MyCAP Investimentos 3,BRASIL ON (BBAS3),0.58
2020,08,202008,MyCAP Investimentos 3,CEMIG PN (CMIG4),-2.8
2020,08,202008,MyCAP Investimentos 3,GERDAU PN (GGBR4),12.32
2020,08,202008,MyCAP Investimentos 3,MAGAZINE LUIZA ON (MGLU3),17.18
2020,08,202008,MyCAP Investimentos 3,PETROBRAS PN (PETR4),1.53
2020,08,202008,Necton,BRADESCO PN (BBDC4),-4.25
2020,08,202008,Necton,ISHARES SMAL CI (SMAL11),0.64
2020,08,202008,Necton,VALE ON (VALE3),0.64
2020,08,202008,Necton,VIA VAREJO ON (VVAR3),3.59
2020,08,202008,Necton,VIVARA S.A. ON (VIVA3),4.65
2020,08,202008,Nova Futura Investimentos,B3 ON (B3SA3),-3.81
2020,08,202008,Nova Futura Investimentos,EZTEC ON (EZTC3),-2.36
2020,08,202008,Nova Futura Investimentos,PETROBRAS PN (PETR4),1.53
2020,08,202008,Nova Futura Investimentos,VALE ON (VALE3),0.64
2020,08,202008,Nova Futura Investimentos,VIA VAREJO ON (VVAR3),3.59
2020,08,202008,Planner Corretora,BRASIL ON (BBAS3),0.58
2020,08,202008,Planner Corretora,ENGIE BRASIL ON (EGIE3),-4.37
2020,08,202008,Planner Corretora,PORTO SEGURO ON (PSSA3),3.63
2020,08,202008,Planner Corretora,TRANS PAULISTA PN (TRPL4),-4.39
2020,08,202008,Planner Corretora,VIA VAREJO ON (VVAR3),3.59
2020,08,202008,Safra Corretora,B3 ON (B3SA3),-3.81
2020,08,202008,Safra Corretora,BRASIL ON (BBAS3),0.58
2020,08,202008,Safra Corretora,GERDAU PN (GGBR4),12.32
2020,08,202008,Safra Corretora,IHPARDINI ON (PARD3),-8.71
2020,08,202008,Safra Corretora,VIA VAREJO ON (VVAR3),3.59
2020,08,202008,Santander Corretora,AMBEV ON (ABEV3),-8.27
2020,08,202008,Santander Corretora,BRADESCO PN (BBDC4),-4.25
2020,08,202008,Santander Corretora,ENGIE BRASIL ON (EGIE3),-4.37
2020,08,202008,Santander Corretora,LOJAS AMERICANAS PN (LAME4),-2.61
2020,08,202008,Santander Corretora,SUL AMERICA UNT (SULA11),-11.64
2020,08,202008,Socopa Corretora,BRADESCO PN (BBDC4),-4.25
2020,08,202008,Socopa Corretora,CCR SA ON (CCRO3),-10.16
2020,08,202008,Socopa Corretora,ENERGIAS BR ON (ENBR3),-5.55
2020,08,202008,Socopa Corretora,HAPVIDA ON (HAPV3),-1.01
2020,08,202008,Socopa Corretora,JBS ON (JBSS3),6.22
2020,08,202008,Terra Investimentos,B3 ON (B3SA3),-3.81
2020,08,202008,Terra Investimentos,BRADESCO PN (BBDC4),-4.25
2020,08,202008,Terra Investimentos,KLABIN S/A UNT (KLBN11),26.67
2020,08,202008,Terra Investimentos,MAGAZINE LUIZA ON (MGLU3),17.18
2020,08,202008,Terra Investimentos,PETROBRAS PN (PETR4),1.53
2020,08,202008,XP Investimentos,BRASIL ON (BBAS3),0.58
2020,08,202008,XP Investimentos,LOCALIZA ON (RENT3),-1.81
2020,08,202008,XP Investimentos,LOCAWEB ON (LWSA3),24.93
2020,08,202008,XP Investimentos,VALE ON (VALE3),0.64
2020,08,202008,XP Investimentos,VIVARA S.A. ON (VIVA3),4.65
2020,07,202007,Ágora Investimentos,ECORODOVIAS ON (ECOR3),11.95
2020,07,202007,Ágora Investimentos,KLABIN S/A UNT (KLBN11),1.62
2020,07,202007,Ágora Investimentos,PETROBRAS PN (PETR4),3.02
2020,07,202007,Ágora Investimentos,TENDA ON (TEND3),8.31
2020,07,202007,Ágora Investimentos,VIA VAREJO ON (VVAR3),27.5
2020,07,202007,Ativa Investimentos,BANRISUL PNB (BRSR6),5.24
2020,07,202007,Ativa Investimentos,ELETROBRAS ON (ELET3),24.23
2020,07,202007,Ativa Investimentos,LIGHT ON (LIGT3),13.99
2020,07,202007,Ativa Investimentos,PETROBRAS BR ON (BRDT3),5.34
2020,07,202007,Ativa Investimentos,PETROBRAS PN (PETR4),3.02
2020,07,202007,BB Investimentos,B3 ON (B3SA3),15.42
2020,07,202007,BB Investimentos,CAMIL ON (CAML3),9.71
2020,07,202007,BB Investimentos,LOCAWEB ON (LWSA3),10.88
2020,07,202007,BB Investimentos,VIA VAREJO ON (VVAR3),27.5
2020,07,202007,BB Investimentos,WEG ON (WEGE3),33.33
2020,07,202007,CM Capital Corretora 3,BRF S.A. ON (BRFS3),-2.63
2020,07,202007,CM Capital Corretora 3,COPEL PNB (CPLE6),9.14
2020,07,202007,CM Capital Corretora 3,GERDAU PN (GGBR4),8.99
2020,07,202007,CM Capital Corretora 3,MOVIDA ON (MOVI3),26.62
2020,07,202007,CM Capital Corretora 3,WEG ON (WEGE3),33.33
2020,07,202007,Elite Investimentos,B3 ON (B3SA3),15.42
2020,07,202007,Elite Investimentos,BRASIL ON (BBAS3),4.45
2020,07,202007,Elite Investimentos,ISHARES S&P 500 CI (IVVB11),1.08
2020,07,202007,Elite Investimentos,LOCAMERICA ON (LCAM3),13.51
2020,07,202007,Elite Investimentos,RUMO ON (RAIL3),-1.2
2020,07,202007,Genial Investimentos,INTER BANCO UNIT (BIDI11),47.42
2020,07,202007,Genial Investimentos,ENEVA ON (ENEV3),11.98
2020,07,202007,Genial Investimentos,LOCAWEB ON (LWSA3),10.88
2020,07,202007,Genial Investimentos,RUMO ON (RAIL3),-1.2
2020,07,202007,Genial Investimentos,TOTVS ON (TOTS3),11.58
2020,07,202007,Guide Investimentos,B2W DIGITAL ON (BTOW3),11.84
2020,07,202007,Guide Investimentos,B3 ON (B3SA3),15.42
2020,07,202007,Guide Investimentos,BTGP BANCO UNT (BPAC11),13.61
2020,07,202007,Guide Investimentos,CYRELA REALT ON (CYRE3),21.18
2020,07,202007,Guide Investimentos,LOCAWEB ON (LWSA3),10.88
2020,07,202007,Mirae Corretora,BRASIL ON (BBAS3),4.45
2020,07,202007,Mirae Corretora,INTER BANCO UNIT (BIDI11),47.42
2020,07,202007,Mirae Corretora,PETROBRAS PN (PETR4),3.02
2020,07,202007,Mirae Corretora,VALE ON (VALE3),8.57
2020,07,202007,Mirae Corretora,VIA VAREJO ON (VVAR3),27.5
2020,07,202007,Modalmais,EZTEC ON (EZTC3),3.18
2020,07,202007,Modalmais,GERDAU PN (GGBR4),8.99
2020,07,202007,Modalmais,IRB BRASIL RESSEGUROS ON (IRBR3),-21.6
2020,07,202007,Modalmais,LINX ON (LINX3),4.3
2020,07,202007,Modalmais,VIA VAREJO ON (VVAR3),27.5
2020,07,202007,MyCAP Investimentos 3,BRASIL ON (BBAS3),4.45
2020,07,202007,MyCAP Investimentos 3,CEMIG PN (CMIG4),8.89
2020,07,202007,MyCAP Investimentos 3,GERDAU PN (GGBR4),8.99
2020,07,202007,MyCAP Investimentos 3,MAGAZINE LUIZA ON (MGLU3),12.77
2020,07,202007,MyCAP Investimentos 3,PETROBRAS PN (PETR4),3.02
2020,07,202007,Necton,B3 ON (B3SA3),15.42
2020,07,202007,Necton,BRADESCO PN (BBDC4),8.49
2020,07,202007,Necton,ISHARES SMAL CI (SMAL11),9.46
2020,07,202007,Necton,VALE ON (VALE3),8.57
